id,niche,serp_weakness,kd,volume,aio_resistance,ad_value,content_leverage,personal_edge,longevity,total,dq,top_ranking_domains,notes
B7,"Sim-racing setup calculators (FOV, wheel rotation, pedal, per-game settings tables)",4,4,3,4,4,5,3,4,31,none,simracingcockpit.gg; mysimrig.nl; sampsoid.com; ocracing.com; simcoaches.com; simracing-pro.com; dinex86.github.io (GitHub Pages); fovcalc.app; jscalc.io; apexsimracing.com; overtake.gg (forum x2); steamcommunity.com (x3); github.com/Havner/acc-steering-lock; wikipedia; simracing.fandom.com; simracingsetup.com; gitgudracingacademy.com; racingnear.me,"SERP weakness 4: FOV calculator SERP is all small sim shops + a GitHub Pages app + a jscalc.io page (no big publisher, but 8 competing calculators = saturated sub-topic). 'wheel rotation per car' is the real gap: top 8 = 2 forum threads, 3 Steam discussion threads, a GitHub repo, and 2 Wikipedia pages - nobody has a clean per-car/per-sim steering-lock table. FFB query: Fandom wiki + 3 small guide sites + one calculator. KD 4: zero big media; strongest competitor is simracingcockpit.gg (affiliate blog). Volume 3: FOV calc ~2-5k, rotation/FFB long tail ~1k combined. AIO 4: FOV math, per-car lock tables and per-wheelbase FFB matrices are tables/tools an AI summary can't replace (and values change per sim patch). Ad value 4: DD wheelbases/pedals/cockpits are $300-2000 gear with strong affiliate + CPC >$1.5. Leverage 5: sim x car x wheelbase matrix = 100s of pages from one template. Edge 3: owner has real-time 3D/game-engine background (FOV projection math, camera models) + can script data extraction from sim config files. Longevity 4: sim racing still growing (LMU, AC Evo, iRacing growth). Best-scoring B niche; skip FOV calc, build the per-car rotation/FFB database."
B5,"Espresso-machine & coffee-maker error-code lookup by brand (Breville, DeLonghi, Jura, Saeco)",5,4,4,2,4,5,1,4,29,none,justanswer.com (5 of 6 results for ER05!); homecoffeemachines.ie; mycoffeemachine.co.uk; fixya.com; coffeefixhub.com; fault-codes.jimdofree.com; caffe-select.co.uk; jura-parts.com; bean2cup.org (forum); manualslib.com; saeco.com FAQ; coffeegrump.com; baristalife.co; partstown.com; ebay listings; breville PDF manual,"SERP weakness 5: 'breville er05' top 6 is 5x JustAnswer pay-wall Q&A + one shop blog; 'delonghi codes' shows Fixya, a jimdofree site, and eBay listings; 'jura error 8' is JustAnswer x3 + parts shop + forum; 'barista pro not working' surfaces a PDF manual, JustAnswer and eBay junk. Classic under-served SERP. KD 4: no big publisher; saeco.com FAQ is the only official page and manualslib is a scan. Volume 4: brand x model x code long tail is hundreds of queries, each 50-500/mo; cluster likely 3-10k. AIO 2: 'what does jura error 8 mean' is answered in one sentence by AI and Google's AIO already cites these shop pages - the surviving clicks are for step-by-step fixes/parts. Ad value 4: appliance repair/parts/new-machine affiliate, CPC ~$1-2. Leverage 5: brand x code table = 100+ pages from one template. Edge 1. Longevity 4: models churn but codes persist for a decade. Gap: no single clean brand-agnostic error-code database exists; everything is either a parts shop or JustAnswer."
B9,"Mechanical keyboard reference (switch spec tables, keycap sizes, layout comparisons)",3,3,5,3,4,5,2,4,29,none,keebtalk.com (forum #1-2 for switch chart!); rtings.com; thegamingsetup.com; gomechanicalkeyboard.com; keeb-finder.com; keybumps.com; kordu.tools; keychron.com; hirosarts.com; omnitype.com; maxkeyboard.com; minimaldesksetups.com; deskfinds.com; printables.com; angrymiao/melgeek/attackshark (vendor blogs); mkbguide.com; telcontar.net (old hobbyist); gloriousgaming.com; keebsforall.com; digitec.ch,"SERP weakness 3: a KeebTalk forum thread is #1 for 'switch comparison chart' and telcontar.net (old hobby page) is #1 for actuation-force table - strong weak signals. But '65 vs 75' is 100% vendor content (Keychron, Angry Miao, MelGeek, Attack Shark) and keycap sizes is Keychron/Omnitype/Max Keyboard. KD 3: RTINGS (big) has a 153-switch compare tool; keeb-finder (700+) and keybumps (530+) already run switch databases. Volume 5: keyboard cluster is huge (tens of k). AIO 3: '65 vs 75' and 'what is actuation force' are fully AI-answered; sortable spec tables and per-board keycap-compat lookups survive. Ad value 4: tech/gear affiliate, CPC $1-2. Leverage 5: switch DB (700+ rows) and per-keyboard-model keycap-size pages are programmatic. Edge 2. Longevity 4. Gap: per-keyboard-model keycap compatibility (which set fits a K2/Q1/NuPhy Air75 - Keychron only covers its own boards); switch DB itself is already done 3x."
D1,"Minecraft technical tools (enchantment calc, command gen, tick/villager/potion tables)",4,4,5,3,1,5,3,4,29,none,minecraftmaps.com; wisehosting.com; minecraft.tools; minecraft.wiki; digminecraft.com; gamergeeks.net; mc1337.com; codepen; github; tiktok,"SERP weakness 4: codepen/github/tiktok/scribd/tableau-public rank; hosting companies (wisehosting, giganodes, dedicatedminecraft.host) use tools as lead-gen. KD 4: all small tool sites except minecraft.wiki. Volume 5: enormous long-tail. AIO 3: tick->seconds is a one-liner; enchant-order search and give-command builder are true tools. Ad 1: kids/gaming CPC very low. Leverage 5: fully programmatic. Edge 3: voxel-engine/Blockcraft familiarity. Longevity 4: evergreen but version churn."
A4,Three.js how-to & error lookup pages (one page per common problem),3,3,3,2,4,4,5,4,28,none,"discourse.threejs.org (official forum, 6-7 of top 10 on error queries); threejs.org/docs + /examples; sbcode.net; medium.com; educative.io; oreilly.com (2015 cookbook); github.com; math.hws.edu; codepen.io","Error/how-to queries are dominated by forum threads on discourse.threejs.org — a classic weak signal, but it is the official forum with strong domain authority, and many threads are 2018-2020 (old). No big publisher present. 'gltf loader example' is owned by threejs.org docs+examples. AI Overview answers the checklists (shadowMap.enabled, castShadow) well. Gap: consolidated per-problem pages with a live demo/diagnostic (e.g., interactive 'why is my shadow missing' checker) — something a forum thread cannot be."
A9,GeoGuessr country-clue reference + meta quizzes,4,4,4,3,1,4,5,3,28,none,geometas.com; geomastr.com; reverseimagelocation.com (programmatic cheat-sheets); quizlet.com; hugequiz.com; sporcle.com; dingyiyi0226.github.io; fabiencelier.github.io; knowyourgeo.com; geoguessrguide.com; geodummy.com; youtube.com (owns 'camera generation'); scribblemaps; geolearnr.com,"Entire SERP is small sites, GitHub Pages, Quizlet/Sporcle quizzes and YouTube — no publisher, no Wikipedia except brand page. Weak signals on every query. Established players geometas/geomastr (and plonkit, not surfaced but known) cover the clue taxonomy, and reverseimagelocation.com is already doing programmatic 'bollards by country' pages. Camera-generation query is 100% YouTube. Big fatal flaw for the $1.25 goal: ad CPC is very low (gaming/teen audience, heavy ad-blocking) so RPM will be poor. Interactive quiz/image content resists AI Overview. Gap: per-country 'meta card' pages with an image-quiz mode and a searchable clue database (tag by pole/bollard/plate/line), plus data-backed stuff (coverage generation map) the incumbents lack."
C4,Appliance error-code lookup by brand (washer/dishwasher/dryer/oven),4,3,5,2,4,5,0,5,28,none,"samsung.com; lg.com; bosch-home.com; whirlpool.com; ifixit.com; partselect.com; justanswer.com; facebook.com groups; youtube.com; local repair shops (hoffmannbros, easybear, atoz1); doityourself.com forum; quora.com","Brand support page usually #1 then a mess: JustAnswer (3 slots for GE E8), Facebook group posts, TikTok, Quora, local repair-shop blogs. brand x code x appliance is a natural 500+ page template; repair/parts CPC is $2-5. Risk: accuracy (codes vary by model) and brand support pages plus AI Overview take the easy cases."
D3,"Typography & CSS unit tools (px->rem, clamp, line-height, font pairing)",3,3,5,2,3,5,3,4,28,none,openreplay.com; elementor.com; codebeautify.org; nekocalc.com; cssunitconverter.com; pixelsconverter.com; fontjoy.com; fontpair.co; monotype.com; utopia.fyi; geary.co; chrisburnell.com; clampgenerator.com; MDN; dev.to,"SERP weakness 3: dev.to posts and one-person tools (chrisburnell, marcbacon, rmv.fyi) rank, but px/em/rem is a saturated converter farm (pixelsconverter, pixelconverters, pixelconverter.com, emtopx.com, remtopx.com). Font pairing owned by fontjoy/fontpair/Monotype/Fontshare. KD 3. Volume 5. AIO 2: 'divide by 16' is answered in the AI box; only clamp/fluid-type tools survive. Ad 3: dev/design tools mid CPC. Leverage 5: NNpx-to-rem pages programmatic. Edge 3. Longevity 4."
D4,"Networking calculators & lookups (subnet, VLSM, bandwidth, port lookup, CIDR)",2,2,5,3,4,5,2,5,28,none,mxtoolbox.com; subnet-calculator.com; solarwinds.com; vultr.com; calculator.net; davidc.net; dnschecker.org; ipaddressguide.com; aws.amazon.com; phoenixnap.com; omnicalculator.com; broadbandnow.com; subnetcalculator.dev; networkingtoolbox.net; vercel.app; github,"SERP weakness 2: 'subnet calculator' and 'bandwidth calculator' owned by brands (SolarWinds, MxToolbox, Vultr, calculator.net, Omni). VLSM and port-number queries are weaker (vercel apps, GitHub, subnettingpractice.com, router-reseller blogs). KD 2. Volume 5. AIO 3: subnet/VLSM need a tool; 'port 8443' is a one-paragraph AI answer. Ad 4: IT/networking CPC high. Leverage 5: per-port pages (65k) and per-CIDR tables. Edge 2. Longevity 5."
A3,TradingView / Pine Script error-message lookup (one page per error),4,3,2,1,3,5,5,4,27,none,"tradingcode.net; pineify.app; pinescripter.app; tradingview.com/pine-script-docs (error-messages page, old v3/v4 appendix pages); medium.com; youtube.com; pinescripters.net (phpBB); studocu.com; genspark.ai; quantvps.com; publicistpaper.com / globalfordnews.com (content-farm spam)","Strongest weak signals of the A set: 'study error' SERP is literally content-farm spam; 'cannot call' returns Medium, YouTube, docsbot prompt page; 'undeclared identifier' has phpBB forum + YouTube. Official docs rank old v3/v4 appendix pages. BUT per-error volume is tiny and AI Overviews fully answer 'what does error X mean' with a one-liner, so traffic ceiling is low. Programmatic fit is excellent (100+ distinct compiler/runtime messages)."
